,Job Title,Job Company,Job Location,Company Rating,Company Rating Numbers,Company Size,Company Founded,Company Type,Company Industry,Company Sector,Company Revenue,Level,Minimum,Maximum,Currency,Category,Company ,Role
57,Principal Database Engineer,Northrop Grumman,California,4.0,1293,10000+ Employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),Senior,82000.0,123000.0,USD,Data Science,,Data Engineer
58,Data Engineer,Harnham,"San Francisco, CA",4.0,19,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),Normal,160000.0,190000.0,USD,Data Science,,Data Engineer
59,Director of Data Science,Harnham,"San Francisco, CA",4.0,19,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),Normal,180000.0,220000.0,USD,Data Science,,Data Science
60,"Senior Data Scientist, Machine Learning - Growth",Discord,"San Francisco, CA",4.6,62,51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD),Senior,93000.0,187000.0,USD,Data Science,,Machine Learning
61,"Data Scientist, Analytics - Customer Experience","Twitch Interactive, Inc.","San Francisco, CA",3.7,4703,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),Normal,97000.0,189000.0,USD,Data Science,,Data Analyst
62,"Co-op - Development Sciences, Informatics - Data Analytics",Genentech,"San Francisco, CA",4.2,296,10000+ Employees,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Normal,98000.0,197000.0,USD,Data Science,,Data Analyst
63,Senior Data Scientist - Analytics,"Twitch Interactive, Inc.","San Francisco, CA",3.7,4703,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),Senior,113000.0,191000.0,USD,Data Science,,Data Analyst
64,"Data Scientist, Supply",Wish,"San Francisco, CA",3.6,109,1001 to 5000 Employees,2010,Company - Public,Internet,Information Technology,$1 to $2 billion (USD),Normal,103000.0,184000.0,USD,Data Science,,Data Science
65,Senior Data Scientist,MasterCard,"San Francisco, CA",4.2,507,10000+ Employees,1966,Company - Public,Financial Transaction Processing,Finance,$5 to $10 billion (USD),Senior,110000.0,204000.0,USD,Data Science,,Data Science
66,Data Science Engineer,Wayfair,"San Francisco, CA",3.4,1938,10000+ Employees,2002,Company - Public,Home Furniture & Housewares Stores,Retail,$5 to $10 billion (USD),Normal,90000.0,160000.0,USD,Data Science,,Data Engineer
67,Machine Learning Engineer,Amazon.com Services LLC,"San Francisco, CA",3.7,4703,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),Normal,96000.0,180000.0,USD,Data Science,,Machine Learning
68,Senior Technical Recruiter (Machine Learning),"Grammarly, Inc.","San Francisco, CA",4.9,121,201 to 500 Employees,2009,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Senior,88000.0,200000.0,USD,Data Science,,Machine Learning
69,"Machine Learning Modeler, Financial Crimes",Square,"Oakland, CA",4.2,559,5001 to 10000 Employees,2009,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),Normal,87000.0,182000.0,USD,Data Science,,Machine Learning
70,Machine Learning Scientist,Glassdoor,"San Francisco, CA",4.0,188,501 to 1000 Employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Normal,129000.0,162000.0,USD,Data Science,,Machine Learning
